,date,state,fips,cases,deaths,Case_Difference,Daily_PCT_Increase
217,2020-02-27,Utah,49,1,0,0.0,0.0
208,2020-02-26,Utah,49,1,0,0.0,0.0
2768,2020-04-21,Texas,48,20949,552,914.0,0.04562016471175445
2712,2020-04-20,Texas,48,20035,523,594.0,0.030553983848567556
2656,2020-04-19,Texas,48,19441,503,514.0,0.02715697152216401
2600,2020-04-18,Texas,48,18927,487,796.0,0.043902708069053054
2544,2020-04-17,Texas,48,18131,461,1203.0,0.07106568998109641
2488,2020-04-16,Texas,48,16928,428,822.0,0.051036880665590534
2432,2020-04-15,Texas,48,16106,395,803.0,0.05247337123439855
2376,2020-04-14,Texas,48,15303,365,816.0,0.056326361565541605
2320,2020-04-13,Texas,48,14487,320,711.0,0.05161149825783973
2264,2020-04-12,Texas,48,13776,288,568.0,0.04300423985463353
2208,2020-04-11,Texas,48,13208,265,918.0,0.07469487388120433
2152,2020-04-10,Texas,48,12290,246,918.0,0.0807245867041857
2096,2020-04-09,Texas,48,11372,228,1475.0,0.14903506112963516
2040,2020-04-08,Texas,48,9897,195,929.0,0.10359054415700264
1985,2020-04-07,Texas,48,8968,177,864.0,0.10661401776900292
1930,2020-04-06,Texas,48,8104,159,1013.0,0.1428571428571428
1875,2020-04-05,Texas,48,7091,136,525.0,0.07995735607675902
1820,2020-04-04,Texas,48,6566,124,897.0,0.15822896454401136
1765,2020-04-03,Texas,48,5669,97,789.0,0.16168032786885256
1710,2020-04-02,Texas,48,4880,79,619.0,0.14527106313072058
1655,2020-04-01,Texas,48,4261,63,685.0,0.19155480984340034
1600,2020-03-31,Texas,48,3576,57,533.0,0.17515609595793635
1545,2020-03-30,Texas,48,3043,46,331.0,0.12205014749262544
1490,2020-03-29,Texas,48,2712,35,551.0,0.2549745488199908
1435,2020-03-28,Texas,48,2161,29,219.0,0.11277033985581864
1380,2020-03-27,Texas,48,1942,23,399.0,0.25858716785482816
1326,2020-03-26,Texas,48,1543,21,424.0,0.3789097408400357
1272,2020-03-25,Texas,48,1119,12,262.0,0.30571761960326715
1218,2020-03-24,Texas,48,857,11,129.0,0.17719780219780223
1164,2020-03-23,Texas,48,728,7,96.0,0.1518987341772151
1110,2020-03-22,Texas,48,632,7,85.0,0.15539305301645334
1056,2020-03-21,Texas,48,547,5,170.0,0.45092838196286467
1002,2020-03-20,Texas,48,377,5,129.0,0.5201612903225807
948,2020-03-19,Texas,48,248,4,82.0,0.49397590361445776
894,2020-03-18,Texas,48,166,2,60.0,0.5660377358490567
840,2020-03-17,Texas,48,106,1,19.0,0.21839080459770122
787,2020-03-16,Texas,48,87,1,7.0,0.08749999999999991
734,2020-03-15,Texas,48,80,0,11.0,0.1594202898550725
681,2020-03-14,Texas,48,69,0,11.0,0.18965517241379315
630,2020-03-13,Texas,48,58,0,17.0,0.41463414634146334
579,2020-03-12,Texas,48,41,0,8.0,0.24242424242424243
532,2020-03-11,Texas,48,33,0,2.0,0.06451612903225801
488,2020-03-10,Texas,48,31,0,7.0,0.29166666666666674
449,2020-03-09,Texas,48,24,0,1.0,0.04347826086956519
412,2020-03-08,Texas,48,23,0,4.0,0.21052631578947367
377,2020-03-07,Texas,48,19,0,0.0,0.0
346,2020-03-06,Texas,48,19,0,3.0,0.1875
318,2020-03-05,Texas,48,16,0,4.0,0.33333333333333326
297,2020-03-04,Texas,48,12,0,1.0,0.09090909090909083
280,2020-03-03,Texas,48,11,0,0.0,0.0
264,2020-03-02,Texas,48,11,0,0.0,0.0
249,2020-03-01,Texas,48,11,0,0.0,0.0
236,2020-02-29,Texas,48,11,0,0.0,0.0
226,2020-02-28,Texas,48,11,0,1.0,0.10000000000000009
216,2020-02-27,Texas,48,10,0,0.0,0.0
207,2020-02-26,Texas,48,10,0,0.0,0.0
198,2020-02-25,Texas,48,10,0,0.0,0.0
190,2020-02-24,Texas,48,10,0,6.0,1.5
182,2020-02-23,Texas,48,4,0,0.0,0.0
174,2020-02-22,Texas,48,4,0,0.0,0.0
166,2020-02-21,Texas,48,4,0,2.0,1.0
158,2020-02-20,Texas,48,2,0,0.0,0.0
150,2020-02-19,Texas,48,2,0,0.0,0.0
142,2020-02-18,Texas,48,2,0,0.0,0.0
134,2020-02-17,Texas,48,2,0,0.0,0.0
126,2020-02-16,Texas,48,2,0,0.0,0.0
119,2020-02-15,Texas,48,2,0,0.0,0.0
112,2020-02-14,Texas,48,2,0,0.0,0.0
105,2020-02-13,Texas,48,2,0,1.0,1.0
2767,2020-04-21,Tennessee,47,7341,167,326.0,0.04647184604419108
2711,2020-04-20,Tennessee,47,7015,162,170.0,0.0248356464572681
2655,2020-04-19,Tennessee,47,6845,156,208.0,0.031339460599668634
2599,2020-04-18,Tennessee,47,6637,152,199.0,0.030910220565393054
2543,2020-04-17,Tennessee,47,6438,150,348.0,0.05714285714285716
2487,2020-04-16,Tennessee,47,6090,144,212.0,0.03606668935011914
2431,2020-04-15,Tennessee,47,5878,137,224.0,0.039617969579059054
2375,2020-04-14,Tennessee,47,5654,123,171.0,0.031187306219222943
2319,2020-04-13,Tennessee,47,5483,114,339.0,0.06590202177293936
2263,2020-04-12,Tennessee,47,5144,107,161.0,0.032309853501906405
2207,2020-04-11,Tennessee,47,4983,107,190.0,0.03964114333402868
2151,2020-04-10,Tennessee,47,4793,104,337.0,0.07562836624775593
2095,2020-04-09,Tennessee,47,4456,95,210.0,0.049458313707018364
2039,2020-04-08,Tennessee,47,4246,83,236.0,0.05885286783042387
1984,2020-04-07,Tennessee,47,4010,72,257.0,0.06847855049293905
1929,2020-04-06,Tennessee,47,3753,65,215.0,0.06076879592990392
1874,2020-04-05,Tennessee,47,3538,50,273.0,0.08361408882082699
1819,2020-04-04,Tennessee,47,3265,47,233.0,0.07684696569920835
1764,2020-04-03,Tennessee,47,3032,36,163.0,0.05681422098292077
1709,2020-04-02,Tennessee,47,2869,32,179.0,0.06654275092936812
1654,2020-04-01,Tennessee,47,2690,23,641.0,0.3128355295265983
1599,2020-03-31,Tennessee,47,2049,13,328.0,0.19058686809994185
1544,2020-03-30,Tennessee,47,1721,13,151.0,0.09617834394904468
1489,2020-03-29,Tennessee,47,1570,7,206.0,0.15102639296187692
1434,2020-03-28,Tennessee,47,1364,6,184.0,0.1559322033898305
1379,2020-03-27,Tennessee,47,1180,6,199.0,0.2028542303771661
1325,2020-03-26,Tennessee,47,981,3,175.0,0.21712158808933002
1271,2020-03-25,Tennessee,47,806,3,127.0,0.187039764359352
1217,2020-03-24,Tennessee,47,679,2,157.0,0.3007662835249043
1163,2020-03-23,Tennessee,47,522,2,98.0,0.23113207547169812
1109,2020-03-22,Tennessee,47,424,2,112.0,0.35897435897435903
1055,2020-03-21,Tennessee,47,312,2,75.0,0.31645569620253156
1001,2020-03-20,Tennessee,47,237,0,82.0,0.5290322580645161
947,2020-03-19,Tennessee,47,155,0,57.0,0.5816326530612246
893,2020-03-18,Tennessee,47,98,0,25.0,0.34246575342465757
839,2020-03-17,Tennessee,47,73,0,21.0,0.40384615384615374
786,2020-03-16,Tennessee,47,52,0,13.0,0.33333333333333326
733,2020-03-15,Tennessee,47,39,0,7.0,0.21875
680,2020-03-14,Tennessee,47,32,0,6.0,0.23076923076923084
629,2020-03-13,Tennessee,47,26,0,8.0,0.4444444444444444
578,2020-03-12,Tennessee,47,18,0,10.0,1.25
531,2020-03-11,Tennessee,47,8,0,1.0,0.1428571428571428
487,2020-03-10,Tennessee,47,7,0,3.0,0.75
448,2020-03-09,Tennessee,47,4,0,1.0,0.33333333333333326
411,2020-03-08,Tennessee,47,3,0,2.0,2.0
376,2020-03-07,Tennessee,47,1,0,0.0,0.0
345,2020-03-06,Tennessee,47,1,0,0.0,0.0
2766,2020-04-21,South Dakota,46,1755,8,70.0,0.041543026706231556
2710,2020-04-20,South Dakota,46,1685,7,50.0,0.030581039755351647
2654,2020-04-19,South Dakota,46,1635,7,93.0,0.060311284046692615
2598,2020-04-18,South Dakota,46,1542,7,131.0,0.09284195605953216
2542,2020-04-17,South Dakota,46,1411,7,100.0,0.07627765064836001
2486,2020-04-16,South Dakota,46,1311,7,143.0,0.12243150684931514
2430,2020-04-15,South Dakota,46,1168,6,180.0,0.18218623481781382
2374,2020-04-14,South Dakota,46,988,6,120.0,0.13824884792626735
2318,2020-04-13,South Dakota,46,868,6,138.0,0.18904109589041096
2262,2020-04-12,South Dakota,46,730,6,104.0,0.16613418530351431
2206,2020-04-11,South Dakota,46,626,6,90.0,0.16791044776119413
2150,2020-04-10,South Dakota,46,536,6,89.0,0.19910514541387014
2094,2020-04-09,South Dakota,46,447,6,54.0,0.13740458015267176
2038,2020-04-08,South Dakota,46,393,6,73.0,0.2281249999999999
1983,2020-04-07,South Dakota,46,320,6,32.0,0.11111111111111116
1928,2020-04-06,South Dakota,46,288,4,48.0,0.19999999999999996
1873,2020-04-05,South Dakota,46,240,2,28.0,0.13207547169811318
1818,2020-04-04,South Dakota,46,212,2,25.0,0.1336898395721926
1763,2020-04-03,South Dakota,46,187,2,22.0,0.1333333333333333
1708,2020-04-02,South Dakota,46,165,2,36.0,0.2790697674418605
1653,2020-04-01,South Dakota,46,129,2,21.0,0.19444444444444442
1598,2020-03-31,South Dakota,46,108,1,7.0,0.06930693069306937
1543,2020-03-30,South Dakota,46,101,1,11.0,0.12222222222222223
1488,2020-03-29,South Dakota,46,90,1,22.0,0.32352941176470584
1433,2020-03-28,South Dakota,46,68,1,10.0,0.17241379310344818
1378,2020-03-27,South Dakota,46,58,1,12.0,0.26086956521739135
1324,2020-03-26,South Dakota,46,46,1,5.0,0.12195121951219523
1270,2020-03-25,South Dakota,46,41,1,11.0,0.3666666666666667
1216,2020-03-24,South Dakota,46,30,1,2.0,0.0714285714285714
1162,2020-03-23,South Dakota,46,28,1,7.0,0.33333333333333326
1108,2020-03-22,South Dakota,46,21,1,7.0,0.5
1054,2020-03-21,South Dakota,46,14,1,0.0,0.0
1000,2020-03-20,South Dakota,46,14,1,0.0,0.0
946,2020-03-19,South Dakota,46,14,1,3.0,0.2727272727272727
892,2020-03-18,South Dakota,46,11,1,0.0,0.0
838,2020-03-17,South Dakota,46,11,1,1.0,0.10000000000000009
785,2020-03-16,South Dakota,46,10,1,1.0,0.11111111111111116
732,2020-03-15,South Dakota,46,9,1,0.0,0.0
679,2020-03-14,South Dakota,46,9,1,0.0,0.0
628,2020-03-13,South Dakota,46,9,1,1.0,0.125
577,2020-03-12,South Dakota,46,8,1,0.0,0.0
530,2020-03-11,South Dakota,46,8,1,3.0,0.6000000000000001
2765,2020-04-21,South Carolina,45,4608,135,169.0,0.03807163775625133
2709,2020-04-20,South Carolina,45,4439,124,62.0,0.014164953164267802
2653,2020-04-19,South Carolina,45,4377,120,131.0,0.030852567121997243
2597,2020-04-18,South Carolina,45,4246,119,160.0,0.03915810083210958
2541,2020-04-17,South Carolina,45,4086,116,155.0,0.03943017044009167
2485,2020-04-16,South Carolina,45,3931,109,275.0,0.07521881838074407
2429,2020-04-15,South Carolina,45,3656,107,103.0,0.028989586265128153
2373,2020-04-14,South Carolina,45,3553,97,114.0,0.03314917127071815
2317,2020-04-13,South Carolina,45,3439,87,120.0,0.03615546851461282
2261,2020-04-12,South Carolina,45,3319,82,112.0,0.034923604614904846
2205,2020-04-11,South Carolina,45,3207,80,142.0,0.0463295269168027
2149,2020-04-10,South Carolina,45,3065,72,273.0,0.0977793696275071
2093,2020-04-09,South Carolina,45,2792,67,240.0,0.09404388714733547
2037,2020-04-08,South Carolina,45,2552,63,135.0,0.05585436491518414
1982,2020-04-07,South Carolina,45,2417,51,185.0,0.08288530465949817
1927,2020-04-06,South Carolina,45,2232,48,183.0,0.08931185944363107
1872,2020-04-05,South Carolina,45,2049,44,132.0,0.06885758998435065
1817,2020-04-04,South Carolina,45,1917,40,217.0,0.12764705882352945
1762,2020-04-03,South Carolina,45,1700,34,146.0,0.09395109395109391
1707,2020-04-02,South Carolina,45,1554,31,261.0,0.20185614849187927
1652,2020-04-01,South Carolina,45,1293,26,210.0,0.19390581717451516
1597,2020-03-31,South Carolina,45,1083,22,158.0,0.17081081081081084
1542,2020-03-30,South Carolina,45,925,18,151.0,0.19509043927648584
1487,2020-03-29,South Carolina,45,774,16,114.0,0.17272727272727262
1432,2020-03-28,South Carolina,45,660,15,121.0,0.22448979591836737
1377,2020-03-27,South Carolina,45,539,13,83.0,0.1820175438596492
1323,2020-03-26,South Carolina,45,456,9,32.0,0.07547169811320753
1269,2020-03-25,South Carolina,45,424,7,82.0,0.23976608187134496
1215,2020-03-24,South Carolina,45,342,7,43.0,0.14381270903010024
1161,2020-03-23,South Carolina,45,299,5,105.0,0.5412371134020619
1107,2020-03-22,South Carolina,45,194,3,22.0,0.12790697674418605
1053,2020-03-21,South Carolina,45,172,3,46.0,0.3650793650793651
999,2020-03-20,South Carolina,45,126,3,45.0,0.5555555555555556
945,2020-03-19,South Carolina,45,81,1,21.0,0.3500000000000001
891,2020-03-18,South Carolina,45,60,1,13.0,0.27659574468085113
837,2020-03-17,South Carolina,45,47,1,14.0,0.4242424242424243
784,2020-03-16,South Carolina,45,33,1,5.0,0.1785714285714286
731,2020-03-15,South Carolina,45,28,0,9.0,0.4736842105263157
678,2020-03-14,South Carolina,45,19,0,6.0,0.46153846153846145
627,2020-03-13,South Carolina,45,13,0,1.0,0.08333333333333326
576,2020-03-12,South Carolina,45,12,0,2.0,0.19999999999999996
529,2020-03-11,South Carolina,45,10,0,1.0,0.11111111111111116
485,2020-03-10,South Carolina,45,9,0,2.0,0.2857142857142858
447,2020-03-09,South Carolina,45,7,0,1.0,0.16666666666666674
410,2020-03-08,South Carolina,45,6,0,4.0,2.0
375,2020-03-07,South Carolina,45,2,0,0.0,0.0
2764,2020-04-21,Rhode Island,44,5500,171,410.0,0.08055009823182702
2708,2020-04-20,Rhode Island,44,5090,155,384.0,0.08159796005099862
2652,2020-04-19,Rhode Island,44,4706,150,215.0,0.04787352482743268
2596,2020-04-18,Rhode Island,44,4491,137,314.0,0.07517356954752219
2540,2020-04-17,Rhode Island,44,4177,118,339.0,0.08832725377800932
2484,2020-04-16,Rhode Island,44,3838,105,309.0,0.08756021535845848
2428,2020-04-15,Rhode Island,44,3529,87,278.0,0.08551215010765922
2372,2020-04-14,Rhode Island,44,3251,80,275.0,0.09240591397849451
2316,2020-04-13,Rhode Island,44,2976,73,311.0,0.11669793621013125
2260,2020-04-12,Rhode Island,44,2665,63,316.0,0.13452532992762878
2204,2020-04-11,Rhode Island,44,2349,56,334.0,0.16575682382134005
2148,2020-04-10,Rhode Island,44,2015,49,288.0,0.1667631731325998
2092,2020-04-09,Rhode Island,44,1727,43,277.0,0.19103448275862078
2036,2020-04-08,Rhode Island,44,1450,35,221.0,0.17982099267697316
1981,2020-04-07,Rhode Island,44,1229,30,147.0,0.13585951940850283
1926,2020-04-06,Rhode Island,44,1082,27,160.0,0.17353579175704992
1871,2020-04-05,Rhode Island,44,922,25,116.0,0.14392059553349879
1816,2020-04-04,Rhode Island,44,806,17,95.0,0.13361462728551343
1761,2020-04-03,Rhode Island,44,711,14,54.0,0.08219178082191791
1706,2020-04-02,Rhode Island,44,657,12,91.0,0.16077738515901063
1651,2020-04-01,Rhode Island,44,566,10,78.0,0.1598360655737705
1596,2020-03-31,Rhode Island,44,488,8,80.0,0.196078431372549
1541,2020-03-30,Rhode Island,44,408,4,114.0,0.3877551020408163
1486,2020-03-29,Rhode Island,44,294,3,55.0,0.2301255230125523
1431,2020-03-28,Rhode Island,44,239,2,36.0,0.17733990147783252
1376,2020-03-27,Rhode Island,44,203,0,38.0,0.23030303030303023
1322,2020-03-26,Rhode Island,44,165,0,33.0,0.25
1268,2020-03-25,Rhode Island,44,132,0,8.0,0.06451612903225801
1214,2020-03-24,Rhode Island,44,124,0,18.0,0.16981132075471694
1160,2020-03-23,Rhode Island,44,106,0,23.0,0.27710843373493965
1106,2020-03-22,Rhode Island,44,83,0,17.0,0.25757575757575757
1052,2020-03-21,Rhode Island,44,66,0,22.0,0.5
998,2020-03-20,Rhode Island,44,44,0,0.0,0.0
944,2020-03-19,Rhode Island,44,44,0,11.0,0.33333333333333326
890,2020-03-18,Rhode Island,44,33,0,10.0,0.4347826086956521
836,2020-03-17,Rhode Island,44,23,0,2.0,0.09523809523809534
783,2020-03-16,Rhode Island,44,21,0,1.0,0.050000000000000044
730,2020-03-15,Rhode Island,44,20,0,0.0,0.0
677,2020-03-14,Rhode Island,44,20,0,0.0,0.0
626,2020-03-13,Rhode Island,44,20,0,15.0,3.0
575,2020-03-12,Rhode Island,44,5,0,0.0,0.0
528,2020-03-11,Rhode Island,44,5,0,0.0,0.0
484,2020-03-10,Rhode Island,44,5,0,2.0,0.6666666666666667
446,2020-03-09,Rhode Island,44,3,0,0.0,0.0
409,2020-03-08,Rhode Island,44,3,0,0.0,0.0
374,2020-03-07,Rhode Island,44,3,0,0.0,0.0
343,2020-03-06,Rhode Island,44,3,0,1.0,0.5
316,2020-03-05,Rhode Island,44,2,0,0.0,0.0
296,2020-03-04,Rhode Island,44,2,0,0.0,0.0
279,2020-03-03,Rhode Island,44,2,0,0.0,0.0
263,2020-03-02,Rhode Island,44,2,0,0.0,0.0
2763,2020-04-21,Puerto Rico,72,915,43,-337.0,-0.26916932907348246
2707,2020-04-20,Puerto Rico,72,1252,42,39.0,0.03215169002473206
2651,2020-04-19,Puerto Rico,72,1213,41,95.0,0.08497316636851515
2595,2020-04-18,Puerto Rico,72,1118,60,50.0,0.04681647940074907
2539,2020-04-17,Puerto Rico,72,1068,58,25.0,0.023969319271332612
2483,2020-04-16,Puerto Rico,72,1043,56,69.0,0.07084188911704303
2427,2020-04-15,Puerto Rico,72,974,51,51.0,0.05525460455037923
2371,2020-04-14,Puerto Rico,72,923,45,20.0,0.02214839424141757
2315,2020-04-13,Puerto Rico,72,903,45,6.0,0.006688963210702337
2259,2020-04-12,Puerto Rico,72,897,44,109.0,0.1383248730964468
2203,2020-04-11,Puerto Rico,72,788,42,63.0,0.08689655172413802
2147,2020-04-10,Puerto Rico,72,725,39,42.0,0.061493411420205035
2091,2020-04-09,Puerto Rico,72,683,33,63.0,0.1016129032258064
2035,2020-04-08,Puerto Rico,72,620,24,47.0,0.08202443280977323
1980,2020-04-07,Puerto Rico,72,573,23,60.0,0.11695906432748537
1925,2020-04-06,Puerto Rico,72,513,21,38.0,0.08000000000000007
1870,2020-04-05,Puerto Rico,72,475,20,23.0,0.05088495575221241
1815,2020-04-04,Puerto Rico,72,452,18,74.0,0.1957671957671958
1760,2020-04-03,Puerto Rico,72,378,15,62.0,0.19620253164556956
1705,2020-04-02,Puerto Rico,72,316,12,30.0,0.10489510489510478
1650,2020-04-01,Puerto Rico,72,286,11,47.0,0.19665271966527187
1595,2020-03-31,Puerto Rico,72,239,8,65.0,0.37356321839080464
1540,2020-03-30,Puerto Rico,72,174,6,47.0,0.3700787401574803
1485,2020-03-29,Puerto Rico,72,127,5,27.0,0.27
1430,2020-03-28,Puerto Rico,72,100,3,21.0,0.26582278481012667
1375,2020-03-27,Puerto Rico,72,79,3,15.0,0.234375
1321,2020-03-26,Puerto Rico,72,64,2,13.0,0.2549019607843137
1267,2020-03-25,Puerto Rico,72,51,2,12.0,0.3076923076923077
1213,2020-03-24,Puerto Rico,72,39,2,8.0,0.25806451612903225
1159,2020-03-23,Puerto Rico,72,31,2,8.0,0.34782608695652173
1105,2020-03-22,Puerto Rico,72,23,1,2.0,0.09523809523809534
1051,2020-03-21,Puerto Rico,72,21,1,7.0,0.5
997,2020-03-20,Puerto Rico,72,14,0,8.0,1.3333333333333335
943,2020-03-19,Puerto Rico,72,6,0,1.0,0.19999999999999996
889,2020-03-18,Puerto Rico,72,5,0,0.0,0.0
835,2020-03-17,Puerto Rico,72,5,0,0.0,0.0
782,2020-03-16,Puerto Rico,72,5,0,0.0,0.0
729,2020-03-15,Puerto Rico,72,5,0,1.0,0.25
676,2020-03-14,Puerto Rico,72,4,0,1.0,0.33333333333333326
2762,2020-04-21,Pennsylvania,42,35384,1620,1379.0,0.040552859873548064
2706,2020-04-20,Pennsylvania,42,34005,1366,1013.0,0.03070441319107653
2650,2020-04-19,Pennsylvania,42,32992,1285,1250.0,0.03938000126015995
2594,2020-04-18,Pennsylvania,42,31742,1150,1621.0,0.05381627436008096
2538,2020-04-17,Pennsylvania,42,30121,1027,1807.0,0.06382001836547291
2482,2020-04-16,Pennsylvania,42,28314,864,1510.0,0.05633487539173254
2426,2020-04-15,Pennsylvania,42,26804,833,1213.0,0.04739947637841424
2370,2020-04-14,Pennsylvania,42,25591,746,1296.0,0.05334430952870961
2314,2020-04-13,Pennsylvania,42,24295,563,1340.0,0.05837508168155092
2258,2020-04-12,Pennsylvania,42,22955,525,1181.0,0.054239000642968715
2202,2020-04-11,Pennsylvania,42,21774,515,1646.0,0.08177662957074716
2146,2020-04-10,Pennsylvania,42,20128,435,1749.0,0.0951629577234887
2090,2020-04-09,Pennsylvania,42,18379,344,1965.0,0.11971487754356036
2034,2020-04-08,Pennsylvania,42,16414,313,1832.0,0.12563434371142512
1979,2020-04-07,Pennsylvania,42,14582,240,1508.0,0.11534342970781708
1924,2020-04-06,Pennsylvania,42,13074,169,1485.0,0.12813875226507898
1869,2020-04-05,Pennsylvania,42,11589,159,1480.0,0.14640419428232265
1814,2020-04-04,Pennsylvania,42,10109,139,1689.0,0.20059382422802852
1759,2020-04-03,Pennsylvania,42,8420,102,1404.0,0.2001140250855189
1704,2020-04-02,Pennsylvania,42,7016,90,1211.0,0.20861326442721784
1649,2020-04-01,Pennsylvania,42,5805,74,808.0,0.16169701821092652
1594,2020-03-31,Pennsylvania,42,4997,72,841.0,0.20235803657362839
1539,2020-03-30,Pennsylvania,42,4156,48,715.0,0.2077884335948852
1484,2020-03-29,Pennsylvania,42,3441,40,626.0,0.22238010657193596
1429,2020-03-28,Pennsylvania,42,2815,35,597.0,0.2691614066726782
1374,2020-03-27,Pennsylvania,42,2218,23,528.0,0.31242603550295867
1320,2020-03-26,Pennsylvania,42,1690,16,539.0,0.4682884448305822
1266,2020-03-25,Pennsylvania,42,1151,11,300.0,0.35252643948296125
1212,2020-03-24,Pennsylvania,42,851,7,207.0,0.3214285714285714
1158,2020-03-23,Pennsylvania,42,644,6,140.0,0.2777777777777777
1104,2020-03-22,Pennsylvania,42,504,3,116.0,0.2989690721649485
1050,2020-03-21,Pennsylvania,42,388,2,119.0,0.4423791821561338
996,2020-03-20,Pennsylvania,42,269,1,82.0,0.4385026737967914
942,2020-03-19,Pennsylvania,42,187,1,48.0,0.3453237410071943
888,2020-03-18,Pennsylvania,42,139,1,38.0,0.3762376237623761
834,2020-03-17,Pennsylvania,42,101,0,20.0,0.24691358024691357
781,2020-03-16,Pennsylvania,42,81,0,13.0,0.19117647058823528
728,2020-03-15,Pennsylvania,42,68,0,21.0,0.44680851063829796
675,2020-03-14,Pennsylvania,42,47,0,6.0,0.14634146341463405
624,2020-03-13,Pennsylvania,42,41,0,19.0,0.8636363636363635
574,2020-03-12,Pennsylvania,42,22,0,6.0,0.375
527,2020-03-11,Pennsylvania,42,16,0,4.0,0.33333333333333326
483,2020-03-10,Pennsylvania,42,12,0,2.0,0.19999999999999996
445,2020-03-09,Pennsylvania,42,10,0,4.0,0.6666666666666667
408,2020-03-08,Pennsylvania,42,6,0,2.0,0.5
373,2020-03-07,Pennsylvania,42,4,0,2.0,1.0
2761,2020-04-21,Oregon,41,2002,78,46.0,0.023517382413087873
2705,2020-04-20,Oregon,41,1956,75,46.0,0.02408376963350789
2649,2020-04-19,Oregon,41,1910,74,66.0,0.03579175704989157
2593,2020-04-18,Oregon,41,1844,72,59.0,0.03305322128851551
2537,2020-04-17,Oregon,41,1785,70,49.0,0.02822580645161299
2481,2020-04-16,Oregon,41,1736,64,73.0,0.0438965724594107
2425,2020-04-15,Oregon,41,1663,58,30.0,0.018371096142069776
2369,2020-04-14,Oregon,41,1633,55,49.0,0.030934343434343425
2313,2020-04-13,Oregon,41,1584,53,57.0,0.037328094302554016
2257,2020-04-12,Oregon,41,1527,52,80.0,0.055286800276433956
2201,2020-04-11,Oregon,41,1447,51,76.0,0.05543398978847547
2145,2020-04-10,Oregon,41,1371,48,50.0,0.037850113550340625
2089,2020-04-09,Oregon,41,1321,44,82.0,0.06618240516545604
2033,2020-04-08,Oregon,41,1239,38,58.0,0.04911092294665531
1978,2020-04-07,Oregon,41,1181,33,49.0,0.04328621908127217
1923,2020-04-06,Oregon,41,1132,29,64.0,0.059925093632958726
1868,2020-04-05,Oregon,41,1068,27,69.0,0.06906906906906918
1813,2020-04-04,Oregon,41,999,26,100.0,0.11123470522803114
1758,2020-04-03,Oregon,41,899,22,73.0,0.08837772397094423
1703,2020-04-02,Oregon,41,826,21,90.0,0.1222826086956521
1648,2020-04-01,Oregon,41,736,19,46.0,0.06666666666666665
1593,2020-03-31,Oregon,41,690,18,84.0,0.13861386138613851
1538,2020-03-30,Oregon,41,606,16,58.0,0.1058394160583942
1483,2020-03-29,Oregon,41,548,13,69.0,0.14405010438413357
1428,2020-03-28,Oregon,41,479,13,65.0,0.15700483091787443
1373,2020-03-27,Oregon,41,414,12,98.0,0.3101265822784811
1319,2020-03-26,Oregon,41,316,11,50.0,0.18796992481203012
1265,2020-03-25,Oregon,41,266,10,57.0,0.2727272727272727
1211,2020-03-24,Oregon,41,209,8,18.0,0.09424083769633507
1157,2020-03-23,Oregon,41,191,5,30.0,0.18633540372670798
1103,2020-03-22,Oregon,41,161,5,24.0,0.17518248175182483
1049,2020-03-21,Oregon,41,137,4,23.0,0.20175438596491224
995,2020-03-20,Oregon,41,114,3,27.0,0.31034482758620685
941,2020-03-19,Oregon,41,87,3,13.0,0.17567567567567566
887,2020-03-18,Oregon,41,74,3,8.0,0.1212121212121211
833,2020-03-17,Oregon,41,66,2,20.0,0.4347826086956521
780,2020-03-16,Oregon,41,46,1,7.0,0.17948717948717952
727,2020-03-15,Oregon,41,39,1,3.0,0.08333333333333326
674,2020-03-14,Oregon,41,36,1,6.0,0.19999999999999996
623,2020-03-13,Oregon,41,30,0,0.0,0.0
573,2020-03-12,Oregon,41,30,0,10.0,0.5
526,2020-03-11,Oregon,41,20,0,6.0,0.4285714285714286
482,2020-03-10,Oregon,41,14,0,1.0,0.07692307692307687
444,2020-03-09,Oregon,41,13,0,0.0,0.0
407,2020-03-08,Oregon,41,13,0,7.0,1.1666666666666665
372,2020-03-07,Oregon,41,6,0,4.0,2.0
341,2020-03-06,Oregon,41,2,0,0.0,0.0
315,2020-03-05,Oregon,41,2,0,0.0,0.0
295,2020-03-04,Oregon,41,2,0,0.0,0.0
278,2020-03-03,Oregon,41,2,0,0.0,0.0
262,2020-03-02,Oregon,41,2,0,0.0,0.0
247,2020-03-01,Oregon,41,2,0,1.0,1.0
235,2020-02-29,Oregon,41,1,0,0.0,0.0
2760,2020-04-21,Oklahoma,40,2807,164,127.0,0.047388059701492624
2704,2020-04-20,Oklahoma,40,2680,143,81.0,0.031165833012697153
2648,2020-04-19,Oklahoma,40,2599,140,29.0,0.011284046692606964
2592,2020-04-18,Oklahoma,40,2570,139,105.0,0.04259634888438124
2536,2020-04-17,Oklahoma,40,2465,136,108.0,0.04582095884599058
2480,2020-04-16,Oklahoma,40,2357,131,94.0,0.04153778170570033
2424,2020-04-15,Oklahoma,40,2263,123,79.0,0.036172161172161266
2368,2020-04-14,Oklahoma,40,2184,109,115.0,0.055582406959884034
2312,2020-04-13,Oklahoma,40,2069,98,99.0,0.05025380710659899
2256,2020-04-12,Oklahoma,40,1970,96,102.0,0.054603854389721596
2200,2020-04-11,Oklahoma,40,1868,93,74.0,0.04124860646599782
2144,2020-04-10,Oklahoma,40,1794,88,110.0,0.0653206650831355
